name,path,type,location_x,location_y,location_z,rotation_x_deg,rotation_y_deg,rotation_z_deg,scale,notes
background,assets/background/counter.ply,gaussian_ply,0,0,-0.12,0,0,0,0.75,Background 3DGS/Gaussian PLY from member A; dimmed in clear render
object_A,assets/object_A/controller2.ply,gaussian_ply,-0.95,0.15,0.02,0,0,8,0.34,Object A 3DGS/Gaussian PLY from member A
object_B,assets/object_B/object_B.obj,mesh_obj,-0.32,-0.52,0.12,0,0,-8,0.78,Final SD2.1 threestudio porcelain vase OBJ mesh; enlarged for clear fusion render
object_C,assets/object_C/object_C.obj,mesh_obj,0.48,-0.50,0.12,0,0,12,0.72,Stable-Zero123 guitar OBJ mesh; enlarged for clear fusion render
