asset,source,placed_ply,translation_x,translation_y,translation_z,rotation_x_deg,rotation_y_deg,rotation_z_deg,scale,support_z,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,extent_x,extent_y,extent_z,contact_error_z,support_points_near,dark_support_points_near,note
controller,homework/assets/controller2.ply,not_retained_after_final_merge,-0.30000001192092896,0.11999999731779099,-0.42596572637557983,0,0,-16,0.5,-0.505,-0.45856741070747375,-0.055595166981220245,-0.5049999952316284,-0.1453508883714676,0.3440520167350769,-0.34693145751953125,0.31321650743484497,0.39964717626571655,0.15806853771209717,0.0,21356,19645,"verified black countertop support, face up"
bottle,homework/member_B/assets/object_B/object_B_gaussian_continuous_vase.ply,not_retained_after_final_merge,0.019999999552965164,0.4699999988079071,-0.27400001883506775,0,0,-4,0.48,-0.49,-0.1257743537425995,0.3245235085487366,-0.49000000953674316,0.16469137370586395,0.6141982674598694,-0.058000028133392334,0.29046571254730225,0.2896747589111328,0.43199998140335083,0.0,16465,10337,continuous upright porcelain vase
guitar,homework/member_B/assets/object_C/object_C_gaussian_floorlean_v6.ply,not_retained_after_final_merge,-0.6200000047683716,0.11999999731779099,-0.33685916662216187,0,-7,-8,1.35,-0.94,-0.8005635738372803,0.046612486243247986,-0.9399999976158142,-0.3326948881149292,0.201978862285614,0.2737762928009033,0.4678686857223511,0.15536637604236603,1.2137763500213623,0.0,212,204,moved upward from lower circle to the upper red-circle target in top view
