name,count,p01_x,p01_y,p01_z,p99_x,p99_y,p99_z,mean_x,mean_y,mean_z
background,413019,-4.38029,-4.29955,-4.67632,5.88897,4.85816,-0.01795,0.06329,0.13847,-0.71088
controller,28039,-0.43901,-0.00104,-0.47498,-0.15000,0.32868,-0.35321,-0.27377,0.14026,-0.40665
bottle,94000,-0.11366,0.33584,-0.48047,0.15328,0.60296,-0.06476,0.01962,0.46929,-0.25430
guitar,90000,-1.05538,-0.34826,-1.10000,-0.57515,-0.17910,-0.14225,-0.81360,-0.26375,-0.77622
